Target Value,Frequency
-0.0018884626733548515,1
-0.0018712356002572594,1
-0.0018649105425724288,1
-0.0018616557100471498,1
-0.0017666869099540738,1
-0.001764187003822304,1
-0.0017491691446563928,1
-0.0017426662794075565,1
-0.0017418568193693362,1
-0.0017384249869618618,1
-0.0017282101503541814,1
-0.0016592002654720606,1
-0.0016498927569708055,1
-0.0016448334606120607,1
-0.0016344638374876652,1
-0.001621590316789212,1
-0.0016089180026431782,1
-0.0015986297459321674,1
-0.0015978999029846452,1
-0.0015662583207474157,1
-0.00155737249012744,1
-0.001556852932999675,1
-0.0015511275504116462,1
-0.001550849985088032,1
-0.0015464224112293756,1
-0.0015299710398339883,1
-0.0015295017353961216,1
-0.001523764871359079,1
-0.0015200233849751443,1
-0.0015164771070282912,1
-0.001513299575112037,1
-0.0014922803191184109,1
-0.0014907402098502942,1
-0.0014798793329159343,1
-0.001437973563409023,1
-0.0014160448777300605,1
-0.0014121800529567352,1
-0.0014113496030578876,1
-0.001410354351530807,2
-0.0014100229128722885,1
-0.0014082027812004627,1
-0.001407872352906736,1
-0.0014050699607750516,1
-0.0014029344712691572,1
-0.0013999883334305796,1
-0.0013978682509174778,1
-0.0013975426541663616,1
-0.0013936472910980324,1
-0.0013931618970220994,1
-0.0013883264881123791,1
-0.0013868824039294791,2
-0.0013158616152202374,1
-0.0013007745521196323,1
-0.0012928248222365823,1
-0.0012926728949996802,1
-0.0012917620809113073,1
-0.0012900955843546669,1
-0.0012897930468429575,1
-0.001288433382137577,1
-0.001285572371880983,1
-0.0012843715336563477,1
-0.0012818271863893616,1
-0.0012754362571744116,1
-0.0012741066774772936,1
-0.0012730744748568057,1
-0.0012364412971394012,1
-0.001235607975287878,1
-0.0012229695925287665,1
-0.0011840625185010056,1
-0.0011746050390556428,1
-0.0011743291644648046,1
-0.0011739155954686442,1
-0.0011730893307525525,1
-0.0011710287487557425,1
-0.0011693854879261112,1
-0.0011673378859511363,1
-0.001162317661416834,1
-0.0011613727425817677,1
-0.00115827879770658,1
-0.0011578764545823184,1
-0.0011546677443565745,1
-0.0010906909527185205,1
-0.0010633898505346684,1
-0.0010607578525546613,1
-0.0010596338376405168,1
-0.0010573929389648962,1
-0.0010565240359218242,1
-0.0010538024705813998,1
-0.0010524469391335334,1
-0.0010507267526705943,1
-0.0010502363031682505,1
-0.001048034934497788,1
-0.0010470595078820866,1
-0.0010468159348647754,1
-0.0010448714227664357,1
-0.0010439018732238958,1
-0.0010389610389610615,1
-0.0010378827192527584,1
-0.0010346611484738366,1
-0.0010181571355846186,1
-0.0009920088178562159,1
-0.0009828009828009021,1
-0.0009531184845416041,1
-0.0009450121079677132,1
-0.0009441199032277359,1
-0.0009422295506743561,1
-0.0009410104099275562,1
-0.0009405678678502394,1
-0.0009404572973609193,1
-0.0009402362343539084,1
-0.0009393530206071032,1
-0.0009301784779954803,1
-0.0009233077500144793,1
-0.0009228816981023957,1
-0.0009219245174301172,1
-0.0009206513608378541,1
-0.0009041080409109004,1
-0.0008885433442550328,1
-0.0008823691611977713,1
-0.0008793624622147611,1
-0.0008266902863891534,1
-0.0008250825082508628,1
-0.0008237716975580955,2
-0.0008229001351908183,1
-0.0008202964785843925,1
-0.0008184741303711718,1
-0.0008180915093788377,1
-0.0008160886039055848,1
-0.0008158983623755001,1
-0.0008158032748675215,1
-0.0008135278052182615,1
-0.0008074283407347727,1
-0.0008067769261799196,1
-0.0007998628806490382,1
-0.0007740366008736066,1
-0.0007728401876897495,1
-0.0007719878687619808,1
-0.000771137427705737,1
-0.000770967564293179,1
-0.0007041840267588695,1
-0.0007025349803875258,1
-0.0007021239248727884,1
-0.0007009755242711746,2
-0.0007007299270072043,1
-0.0007004845017803962,1
-0.0007000758415494079,1
-0.0006994229760448611,1
-0.0006976338584965269,1
-0.000694404259012682,1
-0.0006920814349156146,1
-0.0006910452058738192,1
-0.0006890611541774394,1
-0.0006840335176422352,1
-0.00067977114371498,1
-0.0006605383387461305,1
-0.0006448965234214787,1
-0.0005924521594881105,1
-0.000591331086275293,1
-0.0005911912503695493,1
-0.0005877858108506162,1
-0.0005874405216471645,1
-0.0005863383172091119,2
-0.0005838052425711782,1
-0.0005831243804303998,1
-0.0005827845445538493,1
-0.0005786702158439017,1
-0.0005764020981037232,1
-0.0005710043967339651,1
-0.0005532503457815752,1
-0.0005516632647430963,1
-0.0005500852632158715,1
-0.0005413892046991498,1
-0.0005063576009902704,1
-0.0004776404561467329,1
-0.00047183721616039787,1
-0.00047144793446884936,1
-0.0004706712949343883,1
-0.0004692907843023564,1
-0.0004691256670381616,1
-0.0004689606659240564,1
-0.0004682470002925765,1
-0.0004672078490918219,1
-0.0004667716902969632,2
-0.0004658475513888982,1
-0.0004654680863442895,1
-0.0004654139275118707,1
-0.0004653056476473516,1
-0.00046454909703264047,1
-0.000463902580458031,1
-0.0004633651896900348,1
-0.00046154733744885323,1
-0.00046144084905108684,1
-0.00046090914328511534,1
-0.00045555492284032884,1
-0.000438236099698619,1
-0.000352588587882674,1
-0.0003523401256680936,1
-0.00035213334115846706,1
-0.0003517204994430978,2
-0.000351638047236702,1
-0.00035065162760805624,1
-0.0003498338289313896,1
-0.0003496707267323096,1
-0.00034796729107455793,1
-0.00034632034632031683,1
-0.00034628037167427905,1
-0.00034604071745769627,1
-0.00034556240281058415,1
-0.0003455226029368541,1
-0.00033709758975219994,1
-0.0003307789845086173,1
-0.0003300511579296117,1
-0.0002775927159670566,1
-0.00023853539268881008,1
-0.00023656041161523866,1
-0.00023569618761409838,1
-0.00023555738766856127,1
-0.0002352802776307561,1
-0.00023478311909375105,1
-0.00023467292461132327,1
-0.00023456283351896978,2
-0.0002345078266986489,1
-0.00023415091026168788,1
-0.00023412350014628824,1
-0.00023352209702853788,1
-0.0002331681725443735,1
-0.00023286953484302764,1
-0.00023273404317214474,1
-0.00023262576330329576,1
-0.00023230152738251686,1
-0.0002322475759158893,1
-0.00023192439264796416,1
-0.0002306672048900671,1
-0.00022853225161401092,1
-0.0002207871060331268,1
-0.0002200341052863708,1
-0.0002193583767480245,1
-0.00011953858107704995,1
-0.00011951000896326391,1
-0.00011939585696374433,1
-0.00011925347325736357,1
-0.00011894142134993846,1
-0.00011830819284230909,1
-0.00011769552168539033,1
-0.00011766782373356932,2
-0.00011751571772722347,1
-0.00011737778038611868,1
-0.00011728141675948489,1
-0.00011719894520945129,1
-0.00011667930692493833,1
-0.00011665208515598824,1
-0.00011657049600743985,1
-0.00011611030478952955,1
-0.00011593530809805852,1
-0.0001159218686604957,1
-0.00011573404316878033,1
-0.0001153469058192691,1
-0.00011521401002356768,1
-0.00011506817789541657,1
-0.00011498878859306227,1
-0.0001137203616307092,1
-0.00011077263915826308,1
-0.00010954702305976394,1
-0.0001094511027198708,1
-0.00010927170409225084,1
-0.00010917626508000211,1
-5.9751434034360784e-05,1
0.0,59730
0.00011427918404671722,1
0.00011508142010474565,1
0.0001153469058192691,1
0.00011556017796277018,1
0.00011562698733880161,1
0.00011580105378961036,1
0.00011582787977082454,1
0.00011646188784708578,1
0.00011657049600755087,3
0.0001165976797061763,1
0.00011674741696343638,1
0.00011677468324888807,1
0.00011696590443888155,1
0.00011702065414542773,1
0.00011707545513073292,1
0.00011708916339792097,1
0.00011710287487565196,1
0.00011717148046175296,1
0.00011728141675959591,1
0.00011733646230571715,1
0.00011762630124101392,1
0.00011874369174158517,1
0.00011955287225773326,1
0.00022061662346262167,1
0.00022536480928514457,1
0.00022939725870263494,1
0.00023072042452554342,1
0.0002312005086411162,1
0.0002315216762169836,1
0.00023170943636685593,1
0.00023189750130447884,1
0.0002331409920148797,1
0.00023322255262070435,1
0.00023330417031219852,1
0.0002335493664975541,1
0.00023357664233580877,1
0.00023360392454585543,1
0.00023363121313013657,1
0.00023365850809042854,2
0.00023376775173855613,1
0.00023382241187808184,1
0.0002348106838860886,1
0.00023483825515180357,1
0.00023539104337078065,1
0.00023555738766845025,1
0.0002727024815927237,1
0.00034295513003712585,1
0.00034307278861001045,1
0.00034500603760556636,1
0.00034596090641758614,1
0.00034608063678831513,1
0.00034616050308655666,1
0.00034644032565389615,1
0.0003472825143253644,1
0.00034914169333721823,1
0.00035020136578522987,1
0.00035036496350371316,1
0.00035130862462673385,2
0.0003513909224011069,1
0.00035143208574939244,1
0.00035151444138503685,1
0.00035155563367905707,1
0.00035176174004813987,1
0.000352712950443701,1
0.00035275442412840974,1
0.00035283740076463843,1
0.00035287890372304176,1
0.0003529619389375238,1
0.0003531696980398902,1
0.0003537110180982239,1
0.0003537527268440144,1
0.0004468524828240561,1
0.00045581448350517917,1
0.00046176046176049645,1
0.00046213390329841175,1
0.0004621873014039046,1
0.00046234756978558167,1
0.0004632578609067295,1
0.00046379500260873563,1
0.00046449515183200063,1
0.00046471100784195585,1
0.0004647650031952555,1
0.00046568484777931296,1
0.00046617329992426626,1
0.000466336345088747,1
0.00046649950434418663,1
0.0004665539161370358,1
0.0004666627778102672,1
0.00046769950306946306,1
0.00046863101165706134,1
0.00047017337643251444,1
0.00047044986768596253,1
0.0004713368290814035,1
0.00047356893387795473,1
0.00047599214612947804,1
0.0005346005346005267,1
0.0005456430403230073,1
0.0005494203615186155,1
0.0005623348141483575,1
0.0005762028233937677,1
0.0005794749956538059,1
0.0005802820170601741,1
0.0005808212812916658,1
0.000581902822228697,1
0.0005840098113649717,1
0.0005857887645714932,1
0.000586063412061355,1
0.0005864758665179437,1
0.0005874405216472756,1
0.0005881315062048476,1
0.000589448865311093,1
0.000655129115029629,1
0.000655845220527862,1
0.0006911248056211683,1
0.0006929606744818795,1
0.0006948867913600942,1
0.0006961768289146519,1
0.0006995045176332315,1
0.0007009755242712856,1
0.0007011393514460007,1
0.0007013032552158904,2
0.0007015492546038615,1
0.000701877522372385,1
0.0007024527307850637,1
0.0007028641714987849,1
0.000703276094473404,1
0.0007033585370141981,1
0.0007040187738340808,1
0.0007044320516584879,1
0.0007046802513359651,1
0.0007047630234333635,1
0.0007055088482568195,1
0.0007062562533104444,1
0.0007127160420503653,1
0.000716888703028884,1
0.0007707129094411957,1
0.0007746361976428418,1
0.0007792930698580225,1
0.0007799008411788488,1
0.0008068699210419528,1
0.0008069629373450571,1
0.0008074283407348837,1
0.0008078942812626,1
0.0008089212457387251,1
0.0008135278052181505,1
0.000815613166326834,1
0.000815898362375389,1
0.0008162789341727983,1
0.0008165645960922507,1
0.0008184741303711718,1
0.0008198161269543647,1
0.0008210662131251656,1
0.0008228034087569558,1
0.0008229001351907073,1
0.0008242566970857457,1
0.0008259099758125554,1
0.0009208633093524821,1
0.0009225624171136371,1
0.0009226688195607124,1
0.0009319121672781705,1
0.000934306569343013,1
0.0009351803144543869,1
0.000937701459297946,1
0.0009388018541336418,1
0.0009389120356786407,1
0.0009390222430893935,1
0.0009820503027988536,1
0.0009831230542356462,1
0.0009970641998560126,1
0.001009591115598285,1
0.0010132282578103613,1
0.001030986883555851,1
0.001035971223021681,1
0.0010370455723915928,1
0.0010392009699209392,1
0.0010417269517912775,1
0.0010463291286404441,1
0.0010495014867937247,1
0.0010499912500729902,1
0.0010502363031681394,1
0.0010522008534517013,1
0.0010523238819057923,1
0.0010547905068853947,1
0.0010557803976773972,1
0.0010576414595451222,1
0.0010603829160529266,1
0.0010979961570134478,1
0.0011627230974944336,1
0.0011662487608607996,1
0.0011669292257423525,1
0.0011674741696339197,1
0.0011680196227297213,2
0.0011682925404521427,1
0.0011706175007315522,1
0.0011707545513082174,1
0.0011776482364718177,1
0.001178480938070825,1
0.0011793148180907487,1
0.001179871394018095,1
0.0011856067342461696,1
0.0012101875790746508,1
0.0012105871347602992,1
0.00126779231256835,1
0.0012692551779842631,1
0.00127042790321652,1
0.0012730744748568057,1
0.0012792928999243447,1
0.0012878300064391723,1
0.001288433382137688,1
0.0012916104033346976,1
0.0012946507385394046,1
0.001296787503684227,1
0.0013016981243714199,1
0.0013033947508738208,1
0.001382727429855457,1
0.0013857613026155846,1
0.0013886478042006711,1
0.001388808518025586,1
0.001396566773348873,1
0.0013977054335798655,1
0.001398031106192299,1
0.0013981939994174297,1
0.0014086987145625063,1
0.00140919499735781,1
0.001412013884803276,1
0.0014171254155992408,1
0.001466619734835195,1
0.0015138282387190394,1
0.0015152398158400082,1
0.001516123389118773,1
0.0015218027509511511,1
0.0015221591241731947,1
0.0015250161299782405,1
0.0015278838808250317,1
0.0015280634734058385,1
0.0015296817085368453,1
0.0015298617240364631,1
0.0015302218821728886,1
0.0015480732017472132,1
0.0015886090844903222,1
0.0016283803431229593,1
0.0016359918200408163,1
0.0016404007264632092,1
0.0016450267316845402,1
0.0016614055490944413,1
0.0016930978046163503,1
0.0017244352474563573,1
0.0017320016165349728,1
0.001750189603873853,1
0.0017522340984756912,1
0.0017843335514184933,1
0.0017866115794764603,1
0.0018498179085497668,1
0.0018699234500085815,1
0.0018736459980093212,1
0.001874304457330167,1
0.0018778240713572814,1
0.0018800305504964587,1
0.0018804724687078167,1
0.0018931550612317771,1
0.0018940449000055537,1
0.0018957345971564177,1
0.0019616634906400865,1
0.0019854014598541525,1
0.0019901063285381326,1
0.001996594045451827,1
0.0020024736439130386,1
0.002036293945020029,1
0.002077891237235896,1
0.0020797985879261738,1
0.002084590487684501,1
0.0020892577331552697,1
0.002094702607353449,1
0.0020970145135479346,1
0.002099331528644832,1
0.0021066182924687205,1
0.002111065501671394,1
0.0021540728983617807,1
0.0022099447513812542,1
0.002212003026951459,1
0.002213291397285655,1
0.002231749574205466,1
0.002236214912022527,1
0.002238322436237228,1
0.0022533941749760533,1
0.002289508328086498,1
0.0023151976186539525,1
0.002317241379310442,1
0.0023266371580978884,1
0.0023313905079100916,1
0.002331681725444401,1
0.002340745694699775,1
0.002343978904189914,1
0.002349762086588658,1
0.0023594644015807464,1
0.002425131126276181,1
0.0024259227170333464,1
0.0024363362143975387,1
0.002459160372387137,1
0.0025248178114420927,1
0.002542138712351427,1
0.002552648372686539,1
0.002571144743761966,1
0.00257385200350968,1
0.0025761392260132965,1
0.0025911113614600634,1
0.0026075619295957697,1
0.00262153074599647,1
0.0026450462883100823,1
0.0026680006670003475,1
0.0026715645349808526,1
0.0027084123286928996,1
0.002734575286275742,1
0.0027367580819885884,1
0.002782124847852563,1
0.0027876183285904244,1
0.002885003750504822,1
0.0029024206187961976,1
0.002945161100312177,1
0.0029543775921823112,1
0.002973637559329889,1
0.003068997643448368,1
0.003137782260323796,1
0.0031661672414768915,1
0.0031943212067435667,1
0.003195077214366071,1
0.0032637443025154145,1
0.003270836983821024,1
0.0032834945763706713,1
0.0032867707477404196,1
0.003302328141339572,1
0.0033177754034752205,1
0.003360565502056989,1
0.0034943357943977293,1
0.003536276301054908,1
0.0035454706612303433,1
0.0036684219868645673,1
0.003671028480075833,1
0.003752565230137783,1
0.0038405586267094005,1
0.0038498556304138454,1
0.0038885288399221896,1
0.003898201258561995,1
0.004000228584490451,1
0.004009578437378147,1
0.00408282298046081,1
0.0041149844218446585,1
0.004118858487790478,1
0.004138828120380689,1
0.004183850337696526,1
0.004232555405325966,1
0.004234136293414181,1
0.004335177685243163,1
0.004340129061732423,1
0.00451169188445677,1
0.004954290769684455,1
0.005145891498330446,1
0.005352517985611538,1
0.005436290009430245,1
0.00630914826498441,1
0.0070120763537204756,1
0.0071428571428571175,1
0.008753770627550672,1
